Date,Balanced Advantage Category,Corporate Bond Category,Liquid Category,US Equity FOF Category,Large Cap Category,Small Cap Category,Mid Cap Category,Flexi Cap Category,Aggressive Hybrid Category
2019-06-17,146.1223,27.74,793.0229,51.872,123.083,273.04,4791.6982,171.893,2657.1814
2019-06-18,146.4654,27.97,793.0305,51.564,123.141,272.73,4797.2974,172.1845,2657.475
2019-06-19,146.5025,27.92,793.0229,52.316,123.027,271.41,4753.7002,172.0264,2657.5844
2019-06-20,146.6796,28.32,793.0229,53.02,124.493,274.9,4838.6958,173.062,2659.2835
2019-06-21,146.4745,28.16,793.0305,53.098,123.68,275.38,4812.9971,172.8501,2658.4168
2019-06-24,146.4771,27.96,793.0229,53.396,123.406,275.47,4802.6978,172.8779,2658.2257
2019-06-25,146.3663,28.34,793.0305,52.914,124.074,276.49,4838.8955,172.9896,2658.9458
2019-06-26,146.2151,28.56,793.0305,52.481,124.653,277.77,4885.9434,173.1723,2659.1987
2019-06-27,146.3061,28.69,793.0229,52.595,124.817,280.0,4904.9922,173.5058,2659.116
2019-06-28,146.3797,28.51,793.0229,52.627,124.292,279.61,4871.7437,173.4191,2658.8683
2019-07-01,146.3903,27.93,795.4329,53.289,124.934,280.38,4891.6929,173.9719,2659.5856
2019-07-02,146.4817,28.34,795.4329,53.232,125.303,282.0,4913.5415,174.259,2660.0446
2019-07-03,146.678,28.45,795.4329,53.49,125.483,281.98,4938.8901,174.7223,2660.202
2019-07-04,146.9134,28.52,795.4329,53.672,126.04,283.68,4928.6909,175.0211,2660.4357
2019-07-05,147.2972,27.7,795.4329,53.273,124.608,280.53,4837.6958,174.1762,2659.2462
2019-07-08,147.8277,26.35,795.4329,53.216,121.944,279.61,4704.6025,172.764,2656.4725
2019-07-09,147.8228,26.33,795.4329,53.038,121.804,275.69,4733.001,172.8619,2656.5746
2019-07-10,148.0034,26.17,795.4329,53.191,121.352,274.5,4674.8545,172.4916,2655.8952
2019-07-11,148.2166,26.35,795.4254,53.3,122.203,275.94,4707.8022,173.2595,2656.6151
2019-07-12,148.2944,26.09,795.4254,53.564,121.971,276.78,4738.3511,173.3888,2656.4566
2019-07-15,148.5678,25.97,795.4329,54.158,122.216,277.14,4693.0034,173.7339,2656.3739
2019-07-16,148.9102,26.19,795.4254,54.239,122.952,279.83,4739.1011,174.3432,2657.0969
2019-07-17,148.8778,25.97,795.4329,54.147,123.271,280.0,4731.4014,174.3721,2657.2332
2019-07-18,148.8109,25.3,795.4329,53.753,122.557,278.3,4619.9072,173.6682,2656.3344
2019-07-19,148.8542,25.34,795.4329,53.67,120.717,273.03,4503.8633,172.3311,2654.4384
2019-07-22,148.7174,25.61,795.4254,53.614,119.895,273.83,4491.1138,171.9767,2653.869
2019-07-23,148.6097,25.48,795.4329,53.894,119.693,272.76,4453.8154,171.9096,2654.0659
2019-07-24,148.6858,25.17,795.4329,54.083,119.139,268.37,4369.9199,171.0001,2653.6096
2019-07-25,148.3413,24.88,795.4329,53.989,118.992,269.82,4385.1694,171.3404,2653.6388
2019-07-26,148.3704,24.69,795.4329,54.089,119.322,272.75,4420.8677,171.8143,2654.1476
2019-07-29,148.7487,24.16,795.4329,54.567,118.36,269.3,4371.77,171.6901,2653.0941
2019-07-30,148.892,23.79,795.4329,54.367,117.249,265.75,4272.9253,170.6935,3452.5682
2019-07-31,149.0512,24.23,797.8536,54.586,117.577,267.29,4355.021,171.1281,2652.5947
2019-08-01,149.0367,23.94,797.8536,53.698,116.273,264.66,4301.6738,170.0426,2651.2095
2019-08-02,149.3724,23.49,797.8536,53.782,116.337,264.68,4294.0742,170.4904,2651.3039
2019-08-05,149.2155,23.08,797.8456,52.9,115.15,263.0,4226.8276,169.6105,2649.9396
2019-08-06,149.4147,23.44,797.8536,52.883,115.871,265.23,4317.1729,169.894,2651.0942
2019-08-07,149.5577,23.2,797.8612,52.961,114.912,265.39,4257.4263,169.9765,2650.3513
2019-08-08,149.6843,23.58,797.8536,53.383,116.935,266.76,4293.9243,170.8883,2651.7659
2019-08-09,149.4248,23.4,797.8774,53.988,117.615,269.89,4335.6719,171.7587,2652.7394
2019-08-13,149.4511,22.76,797.8536,53.241,115.763,263.86,4209.8286,169.9478,2650.1102
2019-08-14,149.0809,22.76,797.8536,54.205,116.714,266.4,4271.5254,170.6238,2651.396
